state,year,policy_score
Alabama,2000,-3
Alaska,2000,2
Arizona,2000,-2
Arkansas,2000,-3
California,2000,4
Colorado,2000,0
Connecticut,2000,2
Delaware,2000,-2
Florida,2000,-1
Georgia,2000,-3
Hawaii,2000,2
Idaho,2000,-2
Illinois,2000,0
Indiana,2000,-3
Iowa,2000,-3
Kansas,2000,-1
Kentucky,2000,-3
Louisiana,2000,-3
Maine,2000,1
Maryland,2000,2
Massachusetts,2000,1
Michigan,2000,-3
Minnesota,2000,2
Mississippi,2000,-4
Missouri,2000,-3
Montana,2000,3
Nebraska,2000,-2
Nevada,2000,0
New Hampshire,2000,0
New Jersey,2000,2
New Mexico,2000,3
New York,2000,1
North Carolina,2000,-2
North Dakota,2000,-3
Ohio,2000,-4
Oklahoma,2000,-2
Oregon,2000,2
Pennsylvania,2000,-3
Rhode Island,2000,-3
South Carolina,2000,-4
South Dakota,2000,-3
Tennessee,2000,-2
Texas,2000,-3
Utah,2000,-5
Vermont,2000,2
Virginia,2000,-3
Washington,2000,3
West Virginia,2000,0
Wisconsin,2000,-2
Wyoming,2000,-3
