state,year,abortionratetotal,unemployment_rate,data.rates.violent.all,gdp,policy_score,sex_and_age_18_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_male,sex_and_age_female,educational_attainment_high_school_graduate_or_higher,educational_attainment_bachelors_degree_or_higher,income_in_the_past_12_months_in_2010_inflation_adjusted_dollars_median_household_income_dollars,total_number_of_races_reported_one_race,total_number_of_races_reported_two_races,total_number_of_races_reported_three_races
AL,1988,21.3,7.3,558.6,,-3.0,,,,,,,,,,,,
AL,1992,18.4,7.5,871.7,,-3.0,,,,,,,,,,,,
AL,1996,15.3,5.2,565.4,,-3.0,,,,,,,,,,,,
AL,2000,13.5,4.7,486.2,120522.6,-3.0,,,,,,,,,,,,
AL,2005,11.4,4.5,433.0,158677.3,-3.0,,,,,,,,,,,,
AL,2006,11.5,4.0,425.2,166048.2,-3.0,,,,,,,,,,,,
AL,2007,11.6,4.1,448.9,172247.0,-3.0,,,,,,,,,,,,
AL,2008,11.5,5.9,452.8,174665.6,-3.0,,,,,,,,,,,,
AL,2009,10.9,9.7,450.1,170876.5,-3.0,,,,,,,,,,,,
AL,2010,10.4,10.4,383.7,177510.7,-3.0,10.2,12.6,13.0,14.4,48.5,51.5,82.1,21.9,40474.0,98.6,1.3,0.1
AL,2011,10.0,9.6,419.8,182896.7,-3.0,10.1,12.7,12.8,14.3,48.4,51.6,82.7,22.3,,98.7,1.3,0.1
AL,2012,9.3,8.2,449.9,188280.7,-3.0,10.1,12.6,12.8,13.9,48.5,51.5,84.0,23.3,,98.4,1.5,0.1
AL,2013,8.6,7.4,430.8,193981.5,-3.0,10.3,12.7,12.6,13.7,,,84.5,23.5,,,,
AL,2014,8.7,6.8,427.4,197064.4,-3.0,10.0,12.7,12.6,13.4,,,84.7,23.5,,,,
AL,2015,8.5,6.1,472.4,203113.3,-3.0,9.6,12.9,12.6,13.3,,,84.9,24.2,,,,
AL,2016,8.3,5.8,532.3,208824.3,-3.0,9.5,12.9,12.3,13.3,,,85.1,24.7,,,,
AL,2017,8.1,4.5,524.2,216615.5,-3.0,9.7,12.9,12.2,12.9,,,86.5,25.5,,,,
AL,2018,8.2,3.9,519.6,226263.8,-3.0,,,,,,,,,,,,
AL,2019,8.4,3.2,510.8,234798.2,-3.0,,,,,,,,,,,,
AL,2020,9.5,6.4,,235859.0,-3.0,,,,,,,,,,,,
AK,1988,19.8,8.8,522.8,,2.0,,,,,,,,,,,,
AK,1992,19.5,8.9,660.5,,2.0,,,,,,,,,,,,
AK,1996,16.0,7.5,727.7,,2.0,,,,,,,,,,,,
AK,2000,13.5,6.3,566.9,26934.0,2.0,,,,,,,,,,,,
AK,2005,15.0,6.9,632.0,40459.9,2.0,,,,,,,,,,,,
AK,2006,14.5,6.6,688.0,44951.7,2.0,,,,,,,,,,,,
AK,2007,14.1,6.2,661.3,49456.4,2.0,,,,,,,,,,,,
AK,2008,13.9,6.5,652.1,55246.7,2.0,,,,,,,,,,,,
AK,2009,14.3,7.8,633.4,50165.9,2.0,,,,,,,,,,,,
AK,2010,14.7,8.0,635.3,53654.0,2.0,10.5,14.5,13.1,15.7,52.2,47.8,91.0,27.9,64576.0,93.0,6.3,0.7
AK,2011,14.0,7.6,610.1,56912.3,2.0,10.7,14.7,12.9,14.9,51.6,48.4,91.8,26.4,,91.7,7.9,0.4
AK,2012,12.9,7.1,603.2,58320.7,2.0,10.9,14.9,13.1,14.2,52.1,47.9,92.0,28.0,,92.0,7.2,0.7
AK,2013,11.8,6.9,640.4,57533.0,2.0,11.4,15.5,12.2,13.8,,,91.6,28.0,,,,
AK,2014,11.1,6.7,635.8,56587.4,2.0,11.5,15.4,12.6,13.1,,,92.9,28.0,,,,
AK,2015,10.5,6.3,730.2,51574.2,2.0,11.2,16.1,12.4,12.6,,,92.6,29.7,,,,
AK,2016,9.8,6.6,804.2,51121.8,2.0,10.2,16.4,12.5,12.6,,,93.1,29.6,,,,
AK,2017,9.7,6.6,829.0,53550.9,2.0,9.9,16.0,13.1,12.0,,,91.7,28.8,,,,
AK,2018,9.8,6.1,885.0,54762.0,2.0,,,,,,,,,,,,
AK,2019,10.0,5.6,867.1,54549.6,2.0,,,,,,,,,,,,
AK,2020,9.2,8.3,,51861.7,2.0,,,,,,,,,,,,
AZ,1988,27.0,6.4,610.1,,-2.0,,,,,,,,,,,,
AZ,1992,24.2,7.6,670.8,,-2.0,,,,,,,,,,,,
AZ,1996,20.0,5.5,631.5,,-2.0,,,,,,,,,,,,
AZ,2000,16.9,4.0,531.7,165735.6,-2.0,,,,,,,,,,,,
AZ,2005,16.5,4.6,512.0,227997.8,-2.0,,,,,,,,,,,,
AZ,2006,15.4,4.3,542.6,246061.1,-2.0,,,,,,,,,,,,
AZ,2007,14.4,3.7,518.0,261152.8,-2.0,,,,,,,,,,,,
AZ,2008,15.7,5.8,485.6,261005.8,-2.0,,,,,,,,,,,,
AZ,2009,13.8,9.7,426.5,244862.2,-2.0,,,,,,,,,,,,
AZ,2010,12.0,10.4,413.6,250527.0,-2.0,9.9,13.4,12.8,13.2,49.7,50.3,85.6,25.9,46789.0,97.4,2.5,0.1
AZ,2011,12.8,9.5,414.2,261691.4,-2.0,10.0,13.4,12.7,13.0,49.8,50.2,85.7,26.6,,97.0,2.8,0.2
AZ,2012,11.7,8.4,428.9,272703.3,-2.0,10.0,13.4,12.7,12.8,49.8,50.2,85.7,27.3,,97.1,2.7,0.2
