Unnamed: 0,Unnamed: 1,source_file,year
,,adair.xlsx,2020
Table of Contents,,adair.xlsx,2020
Page,Contest,adair.xlsx,2020
1,Registered Voters,adair.xlsx,2020
2,President and Vice President ( 1),adair.xlsx,2020
3,United States Senator ( 1),adair.xlsx,2020
4,United States Representative District 3 ( 1),adair.xlsx,2020
5,State Senator District 10 ( 1),adair.xlsx,2020
6,State Representative District 20 ( 1),adair.xlsx,2020
7,County Board of Supervisors District 1 ( 1),adair.xlsx,2020
8,County Board of Supervisors District 3 ( 1),adair.xlsx,2020
9,County Board of Supervisors District 5 ( 1),adair.xlsx,2020
10,County Auditor ( 1),adair.xlsx,2020
11,County Sheriff ( 1),adair.xlsx,2020
12,County Attorney-To Fill Vacancy ( 1),adair.xlsx,2020
13,3SW RI Township Trustee ( 1),adair.xlsx,2020
14,3SW WA Township Trustee ( 1),adair.xlsx,2020
15,County Public Hospital Trustees ( 3),adair.xlsx,2020
16,Soil and Water Conservation District Commissioners ( 3),adair.xlsx,2020
17,County Agricultural Extension Council Members ( 4),adair.xlsx,2020
18,Supreme Court Justice - Susan Kay Christensen ( 1),adair.xlsx,2020
19,Supreme Court Justice - Edward Mansfield ( 1),adair.xlsx,2020
20,Supreme Court Justice - Christopher McDonald ( 1),adair.xlsx,2020
21,Supreme Court Justice - Thomas Waterman ( 1),adair.xlsx,2020
22,Court of Appeals Judge - Thomas N. Bower ( 1),adair.xlsx,2020
23,Court of Appeals Judge - David May ( 1),adair.xlsx,2020
24,Court of Appeals Judge - Julie A. Schumacher ( 1),adair.xlsx,2020
25,Court of Appeals Judge - Sharon Soorholtz Greer ( 1),adair.xlsx,2020
26,District 5B Judge - Elisabeth S. Reynoldson ( 1),adair.xlsx,2020
27,District 5B Associate Judge - Monty W. Franklin ( 1),adair.xlsx,2020
28,"Question 1 - Shall there be a convention to revise the Constitution, and propose amendment or amendments to same? ( 1)",adair.xlsx,2020
,,adams.xlsx,2020
Table of Contents,,adams.xlsx,2020
Page,Contest,adams.xlsx,2020
1,Registered Voters,adams.xlsx,2020
2,President and Vice President ( 1),adams.xlsx,2020
3,United States Senator ( 1),adams.xlsx,2020
4,United States Representative District 3 ( 1),adams.xlsx,2020
5,State Representative District 21 ( 1),adams.xlsx,2020
6,County Supervisor Dist. 2 ( 1),adams.xlsx,2020
7,County Supervisor Dist. 5 ( 1),adams.xlsx,2020
8,County Auditor ( 1),adams.xlsx,2020
9,County Sheriff ( 1),adams.xlsx,2020
10,Soil and Water Conservation Dist. Commissioner ( 3),adams.xlsx,2020
11,County Agricultural Extension Council ( 4),adams.xlsx,2020
12,Supreme Court Justice - Edward Mansfield ( 1),adams.xlsx,2020
13,Supreme Court Justice - Christopher McDonald ( 1),adams.xlsx,2020
14,Supreme Court Justice - Thomas Waterman ( 1),adams.xlsx,2020
15,Supreme Court Justice - Susan Kay Christensen ( 1),adams.xlsx,2020
16,Court of Appeals Judge - David May ( 1),adams.xlsx,2020
17,Court of Appeals Judge - Julie A. Schumacher ( 1),adams.xlsx,2020
18,Court of Appeals Judge - Sharon Soorholtz Greer ( 1),adams.xlsx,2020
19,Court of Appeals Judge - Thomas N. Bower ( 1),adams.xlsx,2020
20,District 5B Judge - Elisabeth S. Reynoldson ( 1),adams.xlsx,2020
21,District 5B Associate Judge - Monty W. Franklin ( 1),adams.xlsx,2020
22,"Question 1 - Shall there be a convention to revise the Constitution, and propose amendment or amendments to same? ( 1)",adams.xlsx,2020
,,allamakee.xlsx,2020
Table of Contents,,allamakee.xlsx,2020
Page,Contest,allamakee.xlsx,2020
1,Registered Voters,allamakee.xlsx,2020
2,President and Vice President ( 1),allamakee.xlsx,2020
3,United States Senator ( 1),allamakee.xlsx,2020
4,United States Representative District 1 ( 1),allamakee.xlsx,2020
5,State Senator District 28 ( 1),allamakee.xlsx,2020
6,State Representative District 56 ( 1),allamakee.xlsx,2020
7,County Supervisor ( 1),allamakee.xlsx,2020
8,County Auditor ( 1),allamakee.xlsx,2020
9,County Sheriff ( 1),allamakee.xlsx,2020
10,Center Township Trustees ( 1),allamakee.xlsx,2020
11,Fairview Township Trustees ( 2),allamakee.xlsx,2020
12,Franklin Township Trustees ( 2),allamakee.xlsx,2020
13,French Creek Township Trustees ( 2),allamakee.xlsx,2020
14,Hanover Township Trustees ( 2),allamakee.xlsx,2020
15,Iowa Township Trustees ( 1),allamakee.xlsx,2020
16,Jefferson Township Trustees ( 1),allamakee.xlsx,2020
17,Lafayette Township Trustees ( 1),allamakee.xlsx,2020
18,Lansing Township Trustees ( 2),allamakee.xlsx,2020
19,Linton Township Trustees ( 1),allamakee.xlsx,2020
20,Ludlow Township Trustees ( 1),allamakee.xlsx,2020
21,Makee Township Trustees ( 1),allamakee.xlsx,2020
22,Paint Creek Township Trustee ( 1),allamakee.xlsx,2020
23,Post Township Trustee ( 1),allamakee.xlsx,2020
24,Taylor Township Trustee ( 2),allamakee.xlsx,2020
25,Union City Township Trustees ( 2),allamakee.xlsx,2020
26,Union Prairie Township Trustees ( 2),allamakee.xlsx,2020
27,Waterloo Township Trustees ( 1),allamakee.xlsx,2020
28,Soil and Water Conservation Dist. Commissioner ( 3),allamakee.xlsx,2020
29,County Agricultural Extension Council ( 4),allamakee.xlsx,2020
30,County Agricultural Extension Council To Fill a Vacancy ( 1),allamakee.xlsx,2020
31,Supreme Court Justice - Christopher McDonald ( 1),allamakee.xlsx,2020
32,Supreme Court Justice - Thomas Waterman ( 1),allamakee.xlsx,2020
33,Supreme Court Justice - Susan Kay Christensen ( 1),allamakee.xlsx,2020
34,Supreme Court Justice - Edward Mansfield ( 1),allamakee.xlsx,2020
35,Court of Appeals Judge - Julie A. Schumacher ( 1),allamakee.xlsx,2020
36,Court of Appeals Judge - Sharon Soorholtz Greer ( 1),allamakee.xlsx,2020
37,Court of Appeals Judge - Thomas N. Bower ( 1),allamakee.xlsx,2020
38,Court of Appeals Judge - David May ( 1),allamakee.xlsx,2020
39,District 1A Judge - Alan Heavens ( 1),allamakee.xlsx,2020
40,District 1A Associate Judge - Mark Hostager ( 1),allamakee.xlsx,2020
41,District 1A Associate Judge - Stephanie C. Rattenborg ( 1),allamakee.xlsx,2020
42,District 1A Associate Juvenile Judge - Thomas J. Straka ( 1),allamakee.xlsx,2020
43,"Question 1 - Shall there be a convention to revise the Constitution, and propose amendment or amendments to same? ( 1)",allamakee.xlsx,2020
,,appanoose.xlsx,2020
Table of Contents,,appanoose.xlsx,2020
Page,Contest,appanoose.xlsx,2020
1,Registered Voters,appanoose.xlsx,2020
2,President and Vice President ( 1),appanoose.xlsx,2020
3,United States Senator ( 1),appanoose.xlsx,2020
4,United States Representative District 2 ( 1),appanoose.xlsx,2020
5,State Senator District 40 ( 1),appanoose.xlsx,2020
6,State Representative District 80 ( 1),appanoose.xlsx,2020
